ID,URL,Phrase,HasPhrase,Negated,HandsVisible,HandsFree,SpeakerName,Duplicated,ExtraMod,HandsMoving,WhichHand,HandConfig,HandSpecific,HorizontalMovement,HandGap,OfInterest,Comments
497,https://archive.org/download/ALJAZAM_20150822_080000_Weekend_News/ALJAZAM_20150822_080000_Weekend_News.mp4?t=668/738&ignore=x.mp4,small_number,yes,no,one,one,jonah hull,no,no,yes,L,curved,up,NA,NA,no,NA
2852,https://archive.org/download/KQED_20171226_223000_BBC_World_News_America/KQED_20171226_223000_BBC_World_News_America.mp4?t=480/550&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1070,https://archive.org/download/LINKTV_20130512_210000_Al_Jazeera_World_News/LINKTV_20130512_210000_Al_Jazeera_World_News.mp4?t=374/444&ignore=x.mp4,huge_number,yes,no,both,both,imtiaz tyab,no,no,yes,both,open,back,neither,head_less,no,NA
989,https://archive.org/download/MSNBCW_20191017_080000_The_11th_Hour_With_Brian_Williams/MSNBCW_20191017_080000_The_11th_Hour_With_Brian_Williams.mp4?t=1373/1443&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
203,https://archive.org/download/BBCNEWS_20200502_180000_BBC_News/BBCNEWS_20200502_180000_BBC_News.mp4?t=1031/1101&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1907,https://archive.org/download/BLOOMBERG_20200331_050000_Bloomberg_Daybreak_Europe/BLOOMBERG_20200331_050000_Bloomberg_Daybreak_Europe.mp4?t=1331/1401&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
629,https://archive.org/download/ALJAZAM_20151003_060000_Inside_Story/ALJAZAM_20151003_060000_Inside_Story.mp4?t=242/312&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1814,https://archive.org/download/WMAR_20120205_233000_ABC2_News_Sunday/WMAR_20120205_233000_ABC2_News_Sunday.mp4?t=375/445&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1159,https://archive.org/download/SFGTV_20110918_213000/SFGTV_20110918_213000.mp4?t=1232/1302&ignore=x.mp4,small_number,yes,no,one,one,NA,no,no,yes,R,open,back,NA,NA,no,NA
47,https://archive.org/download/SFGTV_20110425_203000/SFGTV_20110425_203000.mp4?t=995/1065&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
815,http://archive.org/download/KRCB_20111126_193000_To_the_Contrary_With_Bonnie_Erbe/KRCB_20111126_193000_To_the_Contrary_With_Bonnie_Erbe.mp4?t=144/174&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
184,https://archive.org/download/BBCNEWS_20170530_023000_The_Travel_Show/BBCNEWS_20170530_023000_The_Travel_Show.mp4?t=25/95&ignore=x.mp4,large_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
254,https://archive.org/download/CSPAN2_20161214_200000_Cato_Institute_Hosts_Forum_on_Privacy_and_Government_Surveillance/CSPAN2_20161214_200000_Cato_Institute_Hosts_Forum_on_Privacy_and_Government_Surveillance.mp4?t=1286/1356&ignore=x.mp4,tiny_number,yes,no,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,no,NA
2921,https://archive.org/download/LINKTV_20191009_220000_DW_News/LINKTV_20191009_220000_DW_News.mp4?t=682/752&ignore=x.mp4,large_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
19,https://archive.org/download/DW_20191223_220000_DW_News/DW_20191223_220000_DW_News.mp4?t=364/434&ignore=x.mp4,large_number,yes,no,one,one,malte roshinski,no,no,yes,R,open,up,NA,NA,no,NA
1537,https://archive.org/download/BBCNEWS_20181004_043000_Business_Briefing/BBCNEWS_20181004_043000_Business_Briefing.mp4?t=594/664&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1387,https://archive.org/download/RT_20120420_060000/RT_20120420_060000.mp4?t=938/1008&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
134,https://archive.org/download/FOXNEWSW_20140518_193000_Americas_News_Headquarters/FOXNEWSW_20140518_193000_Americas_News_Headquarters.mp4?t=994/1064&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
942,http://archive.org/download/CSPAN2_20141216_213000_Key_Capitol_Hill_Hearings/CSPAN2_20141216_213000_Key_Capitol_Hill_Hearings.mp4?t=4829/4859&ignore=x.mp4,huge_number,yes,no,both,both,carl levin,no,no,no,NA,NA,NA,NA,NA,no,NA
2797,https://archive.org/download/RT_20120702_153000/RT_20120702_153000.mp4?t=400/470&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
594,http://archive.org/download/WTTG_20120304_130000_Fox_5_Morning_News_Sunday/WTTG_20120304_130000_Fox_5_Morning_News_Sunday.mp4?t=600/630&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
976,https://archive.org/download/MSNBCW_20140818_030000_Lockup_Raw/MSNBCW_20140818_030000_Lockup_Raw.mp4?t=958/1028&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1093,https://archive.org/download/ALJAZ_20190828_223200_West_Africas_Opioid_Crisis/ALJAZ_20190828_223200_West_Africas_Opioid_Crisis.mp4?t=1136/1206&ignore=x.mp4,small_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1265,https://archive.org/download/BBCNEWS_20200119_143000_The_Week_in_Parliament/BBCNEWS_20200119_143000_The_Week_in_Parliament.mp4?t=742/812&ignore=x.mp4,small_number,yes,no,both,one,nadine dorries,no,no,no,NA,NA,NA,NA,NA,no,NA
1103,http://archive.org/download/WPHL_20141118_030000_Action_News_at_Ten_on_PHL17/WPHL_20141118_030000_Action_News_at_Ten_on_PHL17.mp4?t=2851/2881&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
116,https://archive.org/download/WPHL_20141118_030000_Action_News_at_Ten_on_PHL17/WPHL_20141118_030000_Action_News_at_Ten_on_PHL17.mp4?t=2846/2916&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2773,https://archive.org/download/KGO_20121219_090500_ABC7_News_1100PM_Repeat/KGO_20121219_090500_ABC7_News_1100PM_Repeat.mp4?t=579/649&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1364,https://archive.org/download/BBCNEWS_20170306_224000_The_Papers/BBCNEWS_20170306_224000_The_Papers.mp4?t=212/282&ignore=x.mp4,small_number,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2085,https://archive.org/download/WPVI_20170104_063500_Action_News_11pm/WPVI_20170104_063500_Action_News_11pm.mp4?t=808/878&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2992,https://archive.org/download/KQED_20160604_090000_KQED_Newsroom/KQED_20160604_090000_KQED_Newsroom.mp4?t=978/1048&ignore=x.mp4,large_number,yes,no,both,both,scott shafer,no,no,yes,both,open,in,out,head_less,no,NA
983,https://archive.org/download/WRC_20190512_093000_News4_Your_Sunday/WRC_20190512_093000_News4_Your_Sunday.mp4?t=1170/1240&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1174,https://archive.org/download/CNNW_20111026_060000_Anderson_Cooper_360/CNNW_20111026_060000_Anderson_Cooper_360.mp4?t=291/361&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
258,https://archive.org/download/KQED_20120723_230000_BBC_World_News_America/KQED_20120723_230000_BBC_World_News_America.mp4?t=65/135&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2495,http://archive.org/download/WBAL_20100111_083000_Meet_the_Press/WBAL_20100111_083000_Meet_the_Press.mp4?t=3010/3040&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1340,https://archive.org/download/ALJAZAM_20140824_080000_News/ALJAZAM_20140824_080000_News.mp4?t=1292/1362&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
3103,https://archive.org/download/FOXNEWSW_20150505_180000_The_Real_Story_With_Gretchen_Carlson/FOXNEWSW_20150505_180000_The_Real_Story_With_Gretchen_Carlson.mp4?t=329/399&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1294,http://archive.org/download/MSNBCW_20141121_230000_PoliticsNation/MSNBCW_20141121_230000_PoliticsNation.mp4?t=3574/3604&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1956,http://archive.org/download/CSPAN2_20101113_040000_Capital_News_Today/CSPAN2_20101113_040000_Capital_News_Today.mp4?t=1996/2026&ignore=x.mp4,tiny_number,yes,no,both,both/oneobject,john harwood,yes,NA,NA,NA,NA,NA,NA,NA,no,NA
413,https://archive.org/download/WJLA_20141017_160000_ABC_7_News_at_Noon/WJLA_20141017_160000_ABC_7_News_at_Noon.mp4?t=617/687&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2050,https://archive.org/download/CSPAN_20151228_060000_Discussion_on_Race_and_the_Justice_System/CSPAN_20151228_060000_Discussion_on_Race_and_the_Justice_System.mp4?t=1432/1502&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1099,https://archive.org/download/WUSA_20120502_160000_9News_Now_at_Noon/WUSA_20120502_160000_9News_Now_at_Noon.mp4?t=1502/1572&ignore=x.mp4,large_number,yes,no,one,one/object,kristen berset harris,no,no,yes,L,open,down,NA,NA,no,NA
713,http://archive.org/download/WJZ_20100702_110000_The_Early_Show/WJZ_20100702_110000_The_Early_Show.mp4?t=2040/2070&ignore=x.mp4,huge_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
720,http://archive.org/download/CNNW_20120220_100000_Early_Start/CNNW_20120220_100000_Early_Start.mp4?t=2629/2659&ignore=x.mp4,huge_number,yes,no,both,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2990,https://archive.org/download/KSNV_20160914_110000_Early_Today/KSNV_20160914_110000_Early_Today.mp4?t=1183/1253&ignore=x.mp4,small_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
434,https://archive.org/download/ALJAZ_20200510_130000_NEWSHOUR/ALJAZ_20200510_130000_NEWSHOUR.mp4?t=2247/2317&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
224,https://archive.org/download/ALJAZ_20200211_113200_Inside_Story_2020_Ep__41/ALJAZ_20200211_113200_Inside_Story_2020_Ep__41.mp4?t=189/259&ignore=x.mp4,large_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2218,https://archive.org/download/DW_20190613_180000_DW_News/DW_20190613_180000_DW_News.mp4?t=612/682&ignore=x.mp4,small_number,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
2363,http://archive.org/download/KTVU_20101213_200000_KTVU_Noon_News/KTVU_20101213_200000_KTVU_Noon_News.mp4?t=1585/1615&ignore=x.mp4,tiny_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1239,https://archive.org/download/ALJAZ_20190814_053300_Unsafe_Shrimp/ALJAZ_20190814_053300_Unsafe_Shrimp.mp4?t=28/98&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
1146,https://archive.org/download/SFGTV_20111104_000000/SFGTV_20111104_000000.mp4?t=32/102&ignore=x.mp4,small_number,yes,no,one,one,NA,no,no,yes,L,open,front,NA,NA,no,could be facing inward
237,https://archive.org/download/BBCNEWS_20200401_120000_BBC_News_at_One/BBCNEWS_20200401_120000_BBC_News_at_One.mp4?t=1199/1269&ignore=x.mp4,small_number,yes,no,both,one,jane hill,no,no,no,NA,NA,NA,NA,NA,no,NA
1085,https://archive.org/download/BLOOMBERG_20170128_093000_Big_Problems_Big_Thinkers/BLOOMBERG_20170128_093000_Big_Problems_Big_Thinkers.mp4?t=886/956&ignore=x.mp4,small_number,yes,no,neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA
